ato_normativo;codigo_curso; data;codigo
Renovação de Reconhecimento; Portaria 737; de 30/12/2013;13301100
Renovação de Reconhecimento; Portaria 737; de 30/12/2013;13301200
Renovação de Reconhecimento; Portaria Nº 706 de 18/12/2013;31301200;
Renovação de Reconhecimento; Portaria Nº 1 de 6/1/2012;91402100;
Reconhecimento; Portaria Nº 298 de 9/7/2013;15101100;
Renovação de Reconhecimento; Aguardando Portaria;13317100;
Renovação de Reconhecimento; Portaria Nº 286 de 21/12/2012;51201110;
Renovação de Reconhecimento; Portaria Nº 286 de 21/12/2012;51201210;
Reconhecimento; Portaria Nº 38 de 14/2/2013;21201110;
Renovação de Reconhecimento­­; Portaria Nº 286 de 21/12/2012;41201110;
Renovação de Reconhecimento; Portaria Nº 286 de 21/12/2012;41201210;
Renovação de Reconhecimento; Portaria Nº 286 de 21/12/2012;14102100;
Renovação de Reconhecimento; Portaria Nº 706 de 18/12/2013;31306200;
Renovação de Reconhecimento; Portaria Nº 706 de 18/12/2013;13304100;
Renovação de Reconhecimento; Portaria Nº 706 de 18/12/2013;13304200;
Reconhecimento; Portaria Nº 651; de 10/12/2013;71305210
Renovação de Reconhecimento; Portaria Nº 286 de 21/12/2012;13305150;
Renovação de Reconhecimento; Portaria Nº 286 de 21/12/2012;13305210;
Reconhecimento; Aguardando Portaria;13306100;
Reconhecimento; Aguardando Portaria;13306200;
Reconhecimento; Aguardando Portaria;71420100;
Reconhecimento; Portaria Nº 408 de 30/08/2013;71318200;
Renovação de Reconhecimento; Portaria Nº 706 de 18/12/2013;11104100;
Renovação de Reconhecimento; Portaria Nº 154 de 4/4/2013;31350100;
Renovação de Reconhecimento; Portaria Nº 154 de 4/4/2013;31350300;
Renovação de Reconhecimento; Portaria Nº 154 de 4/4/2013;31350200;
Reconhecimento; Portaria Nº 45; de 22/01/2015;71315110
Renovação de Reconhecimento; Portaria Nº 823 de 30/12/2014;12204100;
Renovação de Reconhecimento; Portaria Nº 823 de 30/12/2014;51204100;
Renovação de Reconhecimento; Portaria Nº 823 de 30/12/2014;21204100;
Renovação de Reconhecimento­; Portaria Nº 6 de 1/6/2011;15121100;
Reconhecimento; Portaria Nº 619;30/10/2014;11125100
Renovação de Reconhecimento; Portaria Nº 286 de 21/12/2012;91125100;
Renovação de Reconhecimento; Portaria Nº 286 de 21/12/2012;91103100;
Reconhecimento; Portaria 736; de 27/12/2013;71132100
Reconhecimento; Portaria Nº 649; de 10/12/2013;71131100
Autorização; Portaria Nº 275; de 12/05/2014;91122100
Renovação de Reconhecimento; Portaria Nº 286 de 21/12/2012;15122100;
Renovação de Reconhecimento; Portaria Nº 286 de 21/12/2012;11126100;
Renovação de Reconhecimento; Portaria Nº 286 de 21/12/2012;15127100;
Reconhecimento; Portaria Nº 298 de 9/7/2013;11135100;
Reconhecimento; Portaria Nº 648; de 10/12/2013;71133100
Renovação de Reconhecimento; Portaria Nº 286 de 21/12/2012;11133100;
Renovação de Reconhecimento; Portaria Nº 286 de 21/12/2012;14123100;
Renovação de Reconhecimento; Portaria Nº 286 de 21/12/2012;41403100;
Renovação de Reconhecimento; Portaria Nº 286 de 21/12/2012;11124100;
Renovação de Reconhecimento; Portaria Nº 286 de 21/12/2012;11128100;
Renovação de Reconhecimento; Portaria Nº 697; de 17/112014;11134100
Renovação de Reconhecimento; Portaria Nº 823 de 30/12/2014;51203100;
Reconhecimento; Portaria Nº 695; de 17/12/2013;13314250
Reconhecimento; Aguardando Portaria;13314210;
Reconhecimento; Portaria Nº 428 de 30/8/2013;21105210;
Renovação de Reconhecimento; Portaria Nº 286 de 21/12/2012;11105150;
Autorizado; Art. 28 do Decreto 5.773 de 9/5/2006;11105110;
Renovação de Reconhecimento; Portaria Nº 286 de 21/12/2012;51105100;
Renovação de Reconhecimento; Portaria Nº 286 de 21/12/2012;51105210;
Reconhecimento; Portaria Nº 298 de 9/7/2013;13316110;
Reconhecimento; Portaria Nº 298 de 9/7/2013;13316210;
Renovação de Reconhecimento; Portaria Nº 286 de 21/12/2012;21316110;
Renovação de Reconhecimento; Portaria Nº 286 de 21/12/2012;21316210;
Renovação de Reconhecimento; Portaria Nº 286 de 21/12/2012;13309110;
Renovação de Reconhecimento; Portaria Nº 286 de 21/12/2012;13309210;
Renovação de Reconhecimento; Portaria Nº 286 de 21/12/2012;21309110;
Renovação de Reconhecimento; Portaria Nº 286 de 21/12/2012;21109110;
Reconhecimento; Aguardando Portaria;21310110;
Reconhecimento; Aguardando Portaria;21310210;
Autorizado; Portaria Nº 49 de 28/5/2012;21310116;
Reconhecimento; Aguardando Portaria;13310115;
Autorizado; Art. 28 do Decreto 5.773 de 9/5/2006;13310116;
Reconhecimento; Aguardando Portaria;13310110;
Reconhecimento; Aguardando Portaria;13310210;
Renovação de Reconhecimento; Portaria Nº 286 de 21/12/2012;51107110;
Renovação de Reconhecimento; Portaria Nº 286 de 21/12/2012;51107210;
Renovação de Reconhecimento; Portaria Nº 286 de 21/12/2012;11107150;
Renovação de Reconhecimento; Portaria Nº 286 de 21/12/2012;11107110;
Renovação de Reconhecimento; Portaria Nº 286 de 21/12/2012;11107210;
Reconhecimento; Aguardando Portaria;21107110;
Renovação de Reconhecimento (2008);12205100;",";
"Reconhecimento,, Portaria Nº 79 de 19/2/2013,,21205100,";;;
Renovação de Reconhecimento; Portaria Nº 823 de 30/12/2014;41410100;
