COD_CURSO;CURSO;CURRICULO;COD_DISCIPLINA;DISCIPLINA;TIPO
13301100;ADMINISTRAÇÃO - D;1995;1301070;ADM DE RECURSOS MATERIAIS E PATRIMONIAIS;Obrigatoria
13301100;ADMINISTRAÇÃO - D;1995;1301066;ADMINISTRAÇÃO DA PRODUÇÃO I;Obrigatoria
13301100;ADMINISTRAÇÃO - D;1995;1301067;ADMINISTRAÇÃO DA PRODUÇÃO II;Complementar
13301100;ADMINISTRAÇÃO - D;1995;1301060;ADMINISTRAÇÃO DE PEQUENAS EMPRESAS;Optativa
13301100;ADMINISTRAÇÃO - D;1995;1301068;ADMINISTRAÇÃO DE RECURSOS HUMANOS I;Obrigatoria
13301100;ADMINISTRAÇÃO - D;1995;1301069;ADMINISTRAÇÃO DE RECURSOS HUMANOS II;Obrigatoria
13301100;ADMINISTRAÇÃO - D;1995;1411138;ADMINISTRAÇÃO DE SISTEMAS DE INFORMAÇÃO;Obrigatoria
13301100;ADMINISTRAÇÃO - D;1995;1301032;ADMINISTRAÇÃO DE UNIVERSIDADE;Optativa
13301100;ADMINISTRAÇÃO - D;1995;1301057;ADMINISTRAÇÃO FINANCEIRA I;Obrigatoria
13301100;ADMINISTRAÇÃO - D;1995;1301058;ADMINISTRAÇÃO FINANCEIRA II;Obrigatoria
13301100;ADMINISTRAÇÃO - D;1995;1301051;ADMINISTRAÇÃO HOSPITALAR;Optativa
13301100;ADMINISTRAÇÃO - D;1995;1301064;ADMINISTRAÇÃO MERCADOLÓGICA I;Obrigatoria
13301100;ADMINISTRAÇÃO - D;1995;1301065;ADMINISTRAÇÃO MERCADOLÓGICA II;Complementar
13301100;ADMINISTRAÇÃO - D;1995;1301029;ADMINISTRAÇÃO MUNICIPAL;Complementar
13301100;ADMINISTRAÇÃO - D;1995;1301031;ADMINISTRAÇÃO PÚBLICA;Optativa
13301100;ADMINISTRAÇÃO - D;1995;1301020;ADMINISTRAÇÃO RURAL;Optativa
13301100;ADMINISTRAÇÃO - D;1995;1301003;ANÁLISE DE CUSTOS;Complementar
13301100;ADMINISTRAÇÃO - D;1995;1301077;ANÁLISE DE INVESTIMENTOS;Optativa
13301100;ADMINISTRAÇÃO - D;1995;1301037;CONTABILIDADE DE CUSTOS;Complementar
13301100;ADMINISTRAÇÃO - D;1995;1301001;CONTABILIDADE GERAL;Obrigatoria
13301100;ADMINISTRAÇÃO - D;1995;1301075;CONTABILIDADE PUBLICA;Complementar
13301100;ADMINISTRAÇÃO - D;1995;1301079;CRIAÇÃO DE NOVOS NEGÓCIOS;Optativa
13301100;ADMINISTRAÇÃO - D;1995;1301059;CULTURA ORGANIZACIONAL;Optativa
13301100;ADMINISTRAÇÃO - D;1995;1305075;DIREITO ADMINISTRATIVO;Optativa
13301100;ADMINISTRAÇÃO - D;1995;1303012;ECONOMIA BRASILEIRA;Optativa
13301100;ADMINISTRAÇÃO - D;1995;1303001;ECONOMIA I;Obrigatoria
13301100;ADMINISTRAÇÃO - D;1995;1303002;ECONOMIA II;Obrigatoria
13301100;ADMINISTRAÇÃO - D;1995;1303014;ELABORAÇÃO E ANÁLISE DE PROJETO;Optativa
13301100;ADMINISTRAÇÃO - D;1995;1303076;ELABORAÇÃO E ANÁLISE DE PROJETOS;Optativa
13301100;ADMINISTRAÇÃO - D;1995;1305253;ENADE/CONCLUINTE;Complementar
13301100;ADMINISTRAÇÃO - D;1995;1305254;ENADE/INGRESSANTE;Complementar
13301100;ADMINISTRAÇÃO - D;1995;1301018;ENGENHARIA ECONOMICA;Optativa
13301100;ADMINISTRAÇÃO - D;1995;1105269;ERGONOMIA;Optativa
13301100;ADMINISTRAÇÃO - D;1995;1301024;ESTAGIO SUPERVISIONADO (EMPRESA);Obrigatoria
13301100;ADMINISTRAÇÃO - D;1995;1301111;ESTAGIO SUPERVISIONADO (PUBLICA);Obrigatoria
13301100;ADMINISTRAÇÃO - D;1995;1114031;ESTATISTICA DESCRITIVA;Obrigatoria
13301100;ADMINISTRAÇÃO - D;1995;1301004;ESTRUTURA E ANÁLISE DE BALANÇO;Obrigatoria
13301100;ADMINISTRAÇÃO - D;1995;1301076;FORMACAO DE EMPREENDEDORES;Optativa
13301100;ADMINISTRAÇÃO - D;1995;1307009;FRANCES;Optativa
13301100;ADMINISTRAÇÃO - D;1995;1301071;GERENCIAMENTO DOS SUPRIMENTOS;Complementar
13301100;ADMINISTRAÇÃO - D;1995;1301078;GESTAO DA QUALIDADE;Optativa
13301100;ADMINISTRAÇÃO - D;1995;1114032;INFERENCIA ESTATISTICA;Obrigatoria
13301100;ADMINISTRAÇÃO - D;1995;1307011;INGLES;Optativa
13301100;ADMINISTRAÇÃO - D;1995;1305072;INST DO DIREITO PUBL E PRIVADO;Obrigatoria
