COD_CURSO;CURSO;COD_CURRICULO;COD_DISCIPLINA;DISCIPLINA;TIPO;CH;CRED
11104100;DESENHO INDUSTRIAL - D;2001;1304009;EDUCA??O F?SICA;Optativa;;
11104120;DESIGN - D;2001;1307009;FRANCES;Optativa;;
11104120;DESIGN - D;2001;1307011;INGLES;Optativa;;
11104120;DESIGN - D;2001;1304117;GINASTICA MASC/FEM;Optativa;;
11104120;DESIGN - D;2001;1307045;LINGUA PORTUGUESA;Optativa;;
11104120;DESIGN - D;2001;1304123;FUTSAL - FEM;Optativa;;
11104120;DESIGN - D;2001;1304059;FUTEBOL DE CAMPO;Optativa;;
11104120;DESIGN - D;2001;1304009;EDUCA??O F?SICA;Optativa;;
11104120;DESIGN - D;2001;1304013;BASQUETEBOL - MASC;Optativa;;
11104120;DESIGN - D;2001;1305190;SOCIOLOGIA DO CONSUMO;Complementar;;
11104120;DESIGN - D;2001;1304027;ATLETISMO - MASC;Optativa;;
11104120;DESIGN - D;2001;1304026;HANDEBOL - FEM;Optativa;;
11104120;DESIGN - D;2001;1304025;BASQUETEBOL - FEM;Optativa;;
11104120;DESIGN - D;2001;1304024;VOLEIBOL - MAS/FEM;Optativa;;
11104120;DESIGN - D;2001;1304022;GINASTICA - FEM;Optativa;;
11104120;DESIGN - D;2001;1304012;VOLEIBOL - MASC/FEM;Optativa;;
11104120;DESIGN - D;2001;1304060;JUDO - FEM;Optativa;;
11104120;DESIGN - D;2001;1112204;SDI(DI:INDUSTRIA CULTURAL E CONSUMO);Optativa;;
11104120;DESIGN - D;2001;1112211;SDI (SISTEMAS ESTRUTURAIS );Complementar;;
11104120;DESIGN - D;2001;1112210;SDI (DESENHO A MAO LIVRE);Complementar;;
11104120;DESIGN - D;2001;1112209;SDI (RENDERING DIGITAL);Complementar;;
11104120;DESIGN - D;2001;1112208;SDI(INTROD AO DESIGN DE INTERFACE NA WEB;Complementar;;
11104120;DESIGN - D;2001;1112207;SDI (DESIGN DE VESTUARIO);Complementar;;
11104120;DESIGN - D;2001;1112206;SDI (MATERIAIS EXPRESSIVOS & DESIGN);Complementar;;
11104120;DESIGN - D;2001;1105225;HIGIENE E SEGURANCA TRABALHO;Complementar;;
11104120;DESIGN - D;2001;1105222;DESENHO DE M?QUINAS;Complementar;;
11104120;DESIGN - D;2001;1112212;SDI (SISTEM?TICA DO TCC/DESIGN);Complementar;;
11104120;DESIGN - D;2001;1112202;PERCEPCAO DA FORMA;Obrigat?ia;60;4
11104120;DESIGN - D;2001;1112201;ESTETICA APLICADA AO DESIGN;Obrigat?ia;60;4
11104120;DESIGN - D;2001;1112200;TRATAMENTO DE IMAGEM DIGITALIZADA;Complementar;;
11104120;DESIGN - D;2001;1112199;",""TED(DES INDUSTRIAL,, DESENV. E SUSTENTAB)"",";Complementar;;
11104120;DESIGN - D;2001;1112198;TIPOGRAFIA CRIATIVA;Complementar;;
11104120;DESIGN - D;2001;1112197;SEMINARIO DE DESIGN INDUSTRIAL - SDI;Complementar;;
11104120;DESIGN - D;2001;1112196;PROJETO PROFISSIONAL;Complementar;;
11104120;DESIGN - D;2001;1112195;PROJETO EXPERIMENTAL;Complementar;;
11104120;DESIGN - D;2001;1112132;ESTAGIO SUP II - DESIGN & TECNOLOGIA;Obrigat?ia;50;3
11104120;DESIGN - D;2001;1112131;ESTAGIO SUP I - DESIGN VERNACULAR;Obrigat?ia;50;3
11104120;DESIGN - D;2001;1112130;ERGONOMIA & DESIGN;Obrigat?ia;60;4
11104120;DESIGN - D;2001;1112129;ECOLOGIA APLICADA AO DESIGN;Obrigat?ia;30;2
11104120;DESIGN - D;2001;1112214;SDI (HIST?RIA DO VESTU?RIO OCIDENTAL);Complementar;;
11104120;DESIGN - D;2001;1112213;SDI(DESIGN URBANO);Complementar;;
11104120;DESIGN - D;2001;1113013;DESENHO T?CNICO E PERSPECTIVA;Obrigat?ia;60;4
11104120;DESIGN - D;2001;1113008;GEOMETRIA DESCRITIVA;Obrigat?ia;60;4
11104120;DESIGN - D;2001;1113001;DESENHO GEOMETRICO;Obrigat?ia;60;4
11104120;DESIGN - D;2001;1112194;OFICINA GRAFICA;Complementar;;
11104120;DESIGN - D;2001;1112193;OFICINA DE MOCK-UP;Complementar;;
11104120;DESIGN - D;2001;1112192;OFICINA DE MARMORIZACAO;Complementar;;
11104120;DESIGN - D;2001;1112191;OFICINA DE ENCADERNACAO;Complementar;;
11104120;DESIGN - D;2001;1112190;MATERIAIS E PROCESSOS GRAFICOS;Complementar;;
11104120;DESIGN - D;2001;1112189;INTRODUCAO AO TCC/DESIGN;Complementar;;
11104120;DESIGN - D;2001;1112188;INTRODUCAO A PROGRAMACAO VISUAL;Complementar;;
11104120;DESIGN - D;2001;1112187;INTRODU??O ? AN?LISE DA IMAGEM;Complementar;;
11104120;DESIGN - D;2001;1112186;ESTAGIO INTEGRADO;Complementar;;
11104120;DESIGN - D;2001;1112185;ENCADERNA??O;Complementar;;
11104120;DESIGN - D;2001;1112184;DESIGN DE INTERIORES;Complementar;;
11104120;DESIGN - D;2001;1112183;DESIGN - DA IDEIA AO MERCADO;Complementar;;
11104120;DESIGN - D;2001;1112182;DESENHO RAPIDO - CROQUIS;Complementar;;
11104120;DESIGN - D;2001;1112181;COR APLICADA AO DESIGN DE PRODUTO;Complementar;;
11104120;DESIGN - D;2001;1112180;COR APLICADA AO DESIGN DE INTERIORES;Complementar;;
11104120;DESIGN - D;2001;1112205;SDI(SISTEMA CAE/CAD/CAM APL DES INDUST);Complementar;;
11104120;DESIGN - D;2001;1112140;HIST?RIA DA ARTE;Obrigat?ia;60;4
11104120;DESIGN - D;2001;1108094;F?SICA APLICADA AO DESIGN;Obrigat?ia;60;4
11104120;DESIGN - D;2001;1112139;EXPRESSAO TRIDIMENSIONAL I;Obrigat?ia;60;4
11104120;DESIGN - D;2001;1112138;ESTAGIO SUP VIII - DESIGN NA EMPRESA;Obrigat?ia;50;3
11104120;DESIGN - D;2001;1112137;ESTAGIO SUP VII - ECO DESIGN;Obrigat?ia;50;3
11104120;DESIGN - D;2001;1112136;ESTAGIO SUP VI - DESIGN & MERCADO;Obrigat?ia;50;3
11104120;DESIGN - D;2001;1112135;ESTAGIO SUP V - DESIGN & USABILIDADE;Obrigat?ia;50;3
11104120;DESIGN - D;2001;1112134;ESTAGIO SUP IV-FORMA E FUNCAO EM DESIGN;Obrigat?ia;50;3
11104120;DESIGN - D;2001;1112133;ESTAGIO SUP III - DESIGN ENTORNO LOCAL;Obrigat?ia;50;3
11104120;DESIGN - D;2001;1112216;SDI(DESIGN NO CONTEXTO DE MERCADO);Complementar;;
11104120;DESIGN - D;2001;1112215;ATIVIDADE DE COMPLEMENTA??O ACAD?MICA;Complementar;;
11104120;DESIGN - D;2001;1112179;AN?LISE ERG?NOMICA;Complementar;;
11104120;DESIGN - D;2001;1112217;SDI (DESIGN URBANO II);Complementar;;
