CODIGO_CURSO;CODIGO_CURRICULAR;CODIGO_DISCIPLINA;NOME_DISCIPLINA;CREDITOS;HORAS_DISCIPLINA;TIPO;SEMESTRE_IDEAL
14102100;1990;1105149;GEOMETRIA DESCRITIVA;4;60;OPCIONAL;-1
14102100;1990;1108025;FÍSICA GERAL III;6;90;COMPLEMENTAR;-1
14102100;1990;1108026;FÍSICA EXPERIMENTAL I;3;60;COMPLEMENTAR;-1
14102100;1990;1108027;FÍSICA EXPERIMENTAL II;3;60;COMPLEMENTAR;-1
14102100;1990;1108030;FÍSICA GERAL I;4;60;COMPLEMENTAR;-1
14102100;1990;1108031;FÍSICA GERAL II;4;60;COMPLEMENTAR;-1
14102100;1990;1108035;FÍSICA GERAL III;4;60;COMPLEMENTAR;-1
14102100;1990;1108036;FÍSICA GERAL IV;4;60;COMPLEMENTAR;-1
14102100;1990;1108057;COMPLEMENTO DE FÍSICA III;2;30;COMPLEMENTAR;-1
14102100;1990;1108063;FÍSICA GERAL I;1;15;COMPLEMENTAR;-1
14102100;1990;1108064;FÍSICA GERAL II;1;15;COMPLEMENTAR;-1
14102100;1990;1108065;FÍSICA EXPERIMENTAL I;0;0;COMPLEMENTAR;-1
14102100;1990;1108066;FÍSICA EXPERIMENTAL II;0;0;COMPLEMENTAR;-1
14102100;1990;1108067;FÍSICA GERAL III;2;30;COMPLEMENTAR;-1
14102100;1990;1109006;ÁLGEBRA LINEAR;4;60;COMPLEMENTAR;-1
14102100;1990;1109008;CALCULO DIF E INTEGRAL II;4;60;COMPLEMENTAR;-1
14102100;1990;1109010;EQUACOES DIFERENCIAIS LINEARES;4;60;OPCIONAL;-1
14102100;1990;1109035;ALGEBRA VETORIAL E GEOMETRIA ANALÍTICA;4;60;COMPLEMENTAR;-1
14102100;1990;1109049;ÁLGEBRA LINEAR I;4;60;COMPLEMENTAR;-1
14102100;1990;1109050;CALCULO DIFERENCIAL E INTEGRAL I;6;90;COMPLEMENTAR;-1
14102100;1990;1109051;CALCULO DIFERENCIAL E INTEGRAL III;6;90;COMPLEMENTAR;-1
14102100;1990;1109053;CALCULO DIFERENCIAL E INTEGRAL II;4;60;COMPLEMENTAR;-1
14102100;1990;1109054;NOÇÕES DE ÁLGEBRA ABSTRATA;4;60;COMPLEMENTAR;-1
14102100;1990;1114052;PROBABILIDADE E ESTATÍSTICA;6;90;COMPLEMENTAR;-1
14102100;1990;1301014;ADMINISTRAÇÃO;4;60;COMPLEMENTAR;-1
14102100;1990;1303021;ECONOMIA;4;60;COMPLEMENTAR;-1
14102100;1990;1304009;EDUCAÇÃO FÍSICA;2;30;OPCIONAL;-1
14102100;1990;1304010;GINASTICA - MASC;2;30;OPCIONAL;-1
14102100;1990;1304012;VOLEIBOL - MASC/FEM;2;30;OPCIONAL;-1
14102100;1990;1304013;BASQUETEBOL - MASC;2;30;OPCIONAL;-1
14102100;1990;1304014;HANDEBOL - MASC;2;30;OPCIONAL;-1
14102100;1990;1304015;INTRODUÇÃO À PSICOLOGIA;4;60;OPCIONAL;-1
14102100;1990;1304022;GINASTICA - FEM;2;30;OPCIONAL;-1
14102100;1990;1304023;NATACAO - FEM;2;30;OPCIONAL;-1
14102100;1990;1304024;VOLEIBOL - MAS/FEM;2;30;OPCIONAL;-1
14102100;1990;1304025;BASQUETEBOL - FEM;2;30;OPCIONAL;-1
14102100;1990;1304026;HANDEBOL - FEM;2;30;OPCIONAL;-1
14102100;1990;1304027;ATLETISMO - MASC;2;30;OPCIONAL;-1
14102100;1990;1304055;FUTSAL;2;30;OPCIONAL;-1
