CODIGO_CURSO;CODIGO_CURRICULAR;CODIGO_DISCIPLINA;NOME_DISCIPLINA;CREDITO_DISCIPLINA;HORAS_DISCIPLINA;TIPO;SEMESTRE_IDEAL
14102100;2023;1109049;?LGEBRA LINEAR I;4;60;OBRIGATORIO;3
14102100;2023;1109126;C?LCULO DIFERENCIAL E INTEGRAL I;4;60;OBRIGATORIO;2
14102100;2023;1109131;C?LCULO DIFERENCIAL E INTEGRAL II;4;60;OBRIGATORIO;3
14102100;2023;1114129;INTRODU??O ? PROBABILIDADE;4;60;OBRIGATORIO;4
14102100;2023;1114222;ESTAT?STICA APLICADA;4;60;OBRIGATORIO;5
14102100;2023;1303021;ECONOMIA;4;60;OBRIGATORIO;2
14102100;2023;1305219;DIREITO E CIDADANIA;4;60;OBRIGATORIO;1
14102100;2023;1307150;INGL?S;4;60;OPCIONAL;-1
14102100;2023;1307169;L?NGUA PORTUGUESA;4;60;OBRIGATORIO;8
14102100;2023;1307332;LIBRAS;4;60;OPCIONAL;-1
14102100;2023;1411167;PROGRAMA??O I;4;60;OBRIGATORIO;1
14102100;2023;1411168;PROGRAMA??O II;4;60;OBRIGATORIO;2
14102100;2023;1411171;TEORIA DA COMPUTA??O;4;60;OBRIGATORIO;4
14102100;2023;1411172;ESTRUTURAS DE DADOS E ALGORITMOS;4;60;OBRIGATORIO;3
14102100;2023;1411174;INTRODU??O ? COMPUTA??O;4;60;OBRIGATORIO;1
14102100;2023;1411179;LAB.DE ESTRUTURAS DE DADOS E ALGORITMOS;4;60;OBRIGATORIO;3
14102100;2023;1411180;LABORAT?RIO DE PROGRAMA??O I;4;60;OBRIGATORIO;1
14102100;2023;1411181;LABORAT?RIO DE PROGRAMA??O II;4;60;OBRIGATORIO;2
14102100;2023;1411185;PROJETO EM COMPUTA??O I;4;60;OBRIGATORIO;8
14102100;2023;1411187;AN?LISE E T?CNICA DE ALGORITMOS;4;60;OBRIGATORIO;6
14102100;2023;1411188;M?TODOS E SOFTWARE NUM?RICOS;4;60;OPCIONAL;-1
14102100;2023;1411189;COMPILADORES;4;60;OBRIGATORIO;7
14102100;2023;1411190;REDES DE COMPUTADORES;4;60;OBRIGATORIO;5
14102100;2023;1411192;SISTEMAS OPERACIONAIS;4;60;OBRIGATORIO;5
14102100;2023;1411193;BANCO DE DADOS I;4;60;OBRIGATORIO;4
14102100;2023;1411194;BANCO DE DADOS II;4;60;OPCIONAL;-1
14102100;2023;1411197;AVAL.DE DESEMPENHO DE SISTEMAS DISCRETOS;4;60;OPCIONAL;-1
14102100;2023;1411198;ADM.DE SIST.GERENC.DE BANCO DE DADOS;4;60;OPCIONAL;-1
14102100;2023;1411200;COMPUTA??O GR?FICA;4;60;OPCIONAL;-1
14102100;2023;1411213;OTIMIZA??O;4;60;OPCIONAL;-1
14102100;2023;1411217;PROJETO DE REDES DE COMPUTADORES;4;60;OPCIONAL;-1
14102100;2023;1411221;SISTEMAS DE INFORMA??ES GEOGR?FICAS;4;60;OPCIONAL;-1
14102100;2023;1411222;SISTEMAS DISTRIBU?DOS;4;60;OPCIONAL;-1
14102100;2023;1411304;TEORIA DOS GRAFOS;4;60;OBRIGATORIO;4
14102100;2023;1411307;L?GICA PARA COMPUTA??O;4;60;OBRIGATORIO;3
14102100;2023;1411308;PROJETO DE SOFTWARE;4;60;OBRIGATORIO;5
14102100;2023;1411309;PARADIGMAS DE LINGUAGEM DE PROGRAMA??O;4;60;OBRIGATORIO;4
14102100;2023;1411310;ORGANIZA??O E ARQUIT. DE COMPUTADORES;4;60;OBRIGATORIO;4
14102100;2023;1411311;FUND DE MATEM?TICA P/ C.DA COMPUTA??O I;4;60;OBRIGATORIO;1
14102100;2023;1411312;FUND DE MATEM?TICA P/ C.DA COMPUTA??O II;4;60;OBRIGATORIO;2
14102100;2023;1411313;AN?LISE DE SISTEMAS;4;60;OBRIGATORIO;6
14102100;2023;1411314;ENGENHARIA DE SOFTWARE;4;60;OBRIGATORIO;5
14102100;2023;1411315;PROGRAMA??O CONCORRENTE;4;60;OBRIGATORIO;6
14102100;2023;1411316;INTELIG?NCIA ARTIFICIAL;4;60;OBRIGATORIO;5
14102100;2023;1411318;TRABALHO DE CONCLUS?O DE CURSO;4;60;COMPLEMENTAR;9
14102100;2023;1411320;ADMINISTRA??O DE SISTEMAS;4;60;OPCIONAL;-1
14102100;2023;1411321;ALGORITMOS AVAN?ADOS I;4;60;OPCIONAL;-1
14102100;2023;1411322;ALGORITMOS AVAN?ADOS II;4;60;OPCIONAL;-1
14102100;2023;1411323;ALGORITMOS AVAN?ADOS III;4;60;OPCIONAL;-1
14102100;2023;1411324;ALGORITMOS AVAN?ADOS IV;4;60;OPCIONAL;-1
14102100;2023;1411325;ARQUITETURA DE SOFTWARE;4;60;OPCIONAL;-1
14102100;2023;1411327;DES DE SOFTWARE INTEG ? OPER DA INFRAEST;4;60;OPCIONAL;-1
14102100;2023;1411328;ECONOMIA DE TECNOLOGIA DA INFORMA??O;4;60;OPCIONAL;-1
14102100;2023;1411330;GER?NCIA DE REDES;4;60;OPCIONAL;-1
14102100;2023;1411331;INTERCONEX?O DE REDES DE COMPUTADORES;4;60;OPCIONAL;-1
14102100;2023;1411332;M?TODOS FORMAIS;4;60;OPCIONAL;-1
14102100;2023;1411333;PR?TICA DE ENSINO DE COMPUTA??O I;2;30;OPCIONAL;-1
14102100;2023;1411334;PR?TICA DE ENSINO DE COMPUTA??O II;2;30;OPCIONAL;-1
14102100;2023;1411336;PROGRAMA??O EM BANCO DE DADOS;4;60;OPCIONAL;-1
14102100;2023;1411337;PROVIS. E OPER. DE INFRAESTRUTURAS;4;60;OPCIONAL;-1
14102100;2023;1411338;RECONHEC. DE PADR?ES E REDES NEURAIS;4;60;OPCIONAL;-1
14102100;2023;1411339;RECUP. DE INFORMA??O E BUSCA NA WEB;4;60;OPCIONAL;-1
14102100;2023;1411340;SEGURAN?A DE SISTEMAS;4;60;OPCIONAL;-1
14102100;2023;1411342;SISTEMAS DE APOIO ? DECIS?O;4;60;OPCIONAL;-1
14102100;2023;1411343;VERIFICA??O E VALIDA??O DE SOFTWARE;4;60;OPCIONAL;-1
14102100;2023;1411345;INFORM?TICA E SOCIEDADE;4;60;OPCIONAL;-1
14102100;2023;1411348;PROJETO EM COMPUTA??O II;4;60;OBRIGATORIO;9
14102100;2023;1411364;CI?NCIA DE DADOS DESCRITIVA;4;60;OPCIONAL;-1
14102100;2023;1411365;CI?NCIA DE DADOS PREDITIVA;4;60;OPCIONAL;-1
14102100;2023;1411366;COMPUTA??O E M?SICA;4;60;OPCIONAL;-1
14102100;2023;1411367;EMPREENDEDORISMO E INOVA??O;4;60;OPCIONAL;-1
14102100;2023;1411368;GEST?O DE PROJETOS;4;60;OPCIONAL;-1
14102100;2023;1411369;GOVERNAN?A DA INTERNET;4;60;OPCIONAL;-1
14102100;2023;1411370;HABILIDADES SOCIOEMOCIONAIS I;2;30;OPCIONAL;-1
14102100;2023;1411371;HABILIDADES SOCIOEMOCIONAIS II;2;30;OPCIONAL;-1
14102100;2023;1411372;INTERFACE HUMANO-COMPUTADOR;4;60;OPCIONAL;-1
14102100;2023;1411373;JOGOS DIGITAIS;4;60;OPCIONAL;-1
14102100;2023;1411374;PERCEP??O COMPUTACIONAL;4;60;OPCIONAL;-1
14102100;2023;1411375;PROCESSAMENTO DE LINGUAGEM NATURAL;4;60;OPCIONAL;-1
14102100;2023;1411376;PROGRAMA??O FUNCIONAL;4;60;OPCIONAL;-1
14102100;2023;1411377;PROGRAMA??O PARA A WEB I;4;60;OPCIONAL;-1
14102100;2023;1411378;PROGRAMA??O PARA A WEB II;4;60;OPCIONAL;-1
14102100;2023;1411379;PROJETO DE SISTEMAS DIGITAIS;4;60;OPCIONAL;-1
14102100;2023;1411380;TRANSFORMA?AO DIGITAL;4;60;OPCIONAL;-1
14102100;2023;1411381;VISUALIZA??O DE DADOS;4;60;OPCIONAL;-1
14102100;2023;1411382;ATIVIDADES COMPLEMENTARES FLEX?VEIS;8;120;COMPLEMENTAR;-1
14102100;2023;1411383;METODOLOGIA CIENT?FICA;4;60;OBRIGATORIO;7
14102100;2023;1411384;ATIVIDADES COMPLEMENTARES DE EXTENS?O;22;330;COMPLEMENTAR;-1
