CODCURSO;CURSO;CURRICULO;CODIGO;DISCIPLINA;CODUA;UA;SEMESTRE;HORAS;CODPREREQUISITO;PREREQUISITO;ORDEM;OPERADOR
13301100;ADMINISTRA??O - D;1995;1301001;CONTABILIDADE GERAL;13010000;UNID. ACAD. DE ADMINISTRA??O E CONTABILIDADE;1;NA;NA;;NA;
13301100;ADMINISTRA??O - D;1995;1303001;ECONOMIA I;13030000;UNID. ACAD. DE ECONOMIA E FINANCAS;1;NA;NA;;NA;
13301100;ADMINISTRA??O - D;1995;1301005;INTRODUCAO A ADMINISTRACAO;13010000;UNID. ACAD. DE ADMINISTRA??O E CONTABILIDADE;1;NA;NA;;NA;
13301100;ADMINISTRA??O - D;1995;1305027;INTRODUCAO A SOCIOLOGIA;13050000;UNID. ACAD. DE SOCIOLOGIA E ANTROPOLOGIA;1;NA;NA;;NA;
13301100;ADMINISTRA??O - D;1995;1109083;MATEM?TICA APLICADA ? ADMINISTRA??O I;11090000;UNID. ACAD. DE MATEM?TICA;1;NA;NA;;NA;
13301100;ADMINISTRA??O - D;1995;1303002;ECONOMIA II;13030000;UNID. ACAD. DE ECONOMIA E FINANCAS;2;NA;1303001;ECONOMIA I;1;
13301100;ADMINISTRA??O - D;1995;1301004;ESTRUTURA E AN?LISE DE BALAN?O;13010000;UNID. ACAD. DE ADMINISTRA??O E CONTABILIDADE;2;NA;1301001;CONTABILIDADE GERAL;1;
13301100;ADMINISTRA??O - D;1995;1305072;INST DO DIREITO PUBL E PRIVADO;13050000;UNID. ACAD. DE SOCIOLOGIA E ANTROPOLOGIA;2;NA;NA;;NA;
13301100;ADMINISTRA??O - D;1995;1109084;MATEM?TICA APLICADA ? ADMINISTRA??O II;11090000;UNID. ACAD. DE MATEM?TICA;2;NA;1109083;MATEM?TICA APLICADA ? ADMINISTRA??O I;1;OU
13301100;ADMINISTRA??O - D;1995;1109084;MATEM?TICA APLICADA ? ADMINISTRA??O II;11090000;UNID. ACAD. DE MATEM?TICA;2;NA;1109004;INTRODUCAO AO CALCULO INTEGRAL;2;
13301100;ADMINISTRA??O - D;1995;1301063;SOCIOLOGIA DAS ORGANIZACOES;13010000;UNID. ACAD. DE ADMINISTRA??O E CONTABILIDADE;2;NA;1301041;INTRODUCAO A SOCIOLOGIA;1;OU
13301100;ADMINISTRA??O - D;1995;1301063;SOCIOLOGIA DAS ORGANIZACOES;13010000;UNID. ACAD. DE ADMINISTRA??O E CONTABILIDADE;2;NA;1305027;INTRODUCAO A SOCIOLOGIA;2;
13301100;ADMINISTRA??O - D;1995;1301026;TEORIA GERAL ADMINISTRACAO I;13010000;UNID. ACAD. DE ADMINISTRA??O E CONTABILIDADE;2;NA;1301005;INTRODUCAO A ADMINISTRACAO;1;
13301100;ADMINISTRA??O - D;1995;1114031;ESTATISTICA DESCRITIVA;11140000;UNID. ACAD. DE ESTAT?STICA;3;NA;1109084;MATEM?TICA APLICADA ? ADMINISTRA??O II;1;OU
13301100;ADMINISTRA??O - D;1995;1114031;ESTATISTICA DESCRITIVA;11140000;UNID. ACAD. DE ESTAT?STICA;3;NA;1109005;FUN VAR VARIAV E ALG LINEAR;2;
13301100;ADMINISTRA??O - D;1995;1301086;INTRODUCAO A PSICOLOGIA;13010000;UNID. ACAD. DE ADMINISTRA??O E CONTABILIDADE;3;NA;NA;;NA;
13301100;ADMINISTRA??O - D;1995;1305073;LEGISLACAO SOCIAL;13050000;UNID. ACAD. DE SOCIOLOGIA E ANTROPOLOGIA;3;NA;1305072;INST DO DIREITO PUBL E PRIVADO;1;
13301100;ADMINISTRA??O - D;1995;1301011;MATEM?TICA FINANCEIRA;13010000;UNID. ACAD. DE ADMINISTRA??O E CONTABILIDADE;3;NA;NA;;NA;
13301100;ADMINISTRA??O - D;1995;1301027;TEORIA GERAL ADMINISTRACAO II;13010000;UNID. ACAD. DE ADMINISTRA??O E CONTABILIDADE;3;NA;1301026;TEORIA GERAL ADMINISTRACAO I;1;
13301100;ADMINISTRA??O - D;1995;1301057;ADMINISTRA??O FINANCEIRA I;13010000;UNID. ACAD. DE ADMINISTRA??O E CONTABILIDADE;4;NA;1301011;MATEM?TICA FINANCEIRA;1;E
