MATRICULA;TIPO_ADMISSAO;TIPO_ENSINO_MEDIO;POLITICA_AFIRMATIVA_ALUNOS
102210001;VESTIBULAR;DESCONHECIDA;A0
102210002;VESTIBULAR;DESCONHECIDA;A0
102210003;VESTIBULAR;DESCONHECIDA;A0
102210004;VESTIBULAR;DESCONHECIDA;A0
102210005;VESTIBULAR;DESCONHECIDA;A0
102210006;VESTIBULAR;DESCONHECIDA;A0
102210007;VESTIBULAR;DESCONHECIDA;A0
102210008;VESTIBULAR;DESCONHECIDA;A0
102210009;VESTIBULAR;DESCONHECIDA;A0
102210010;VESTIBULAR;DESCONHECIDA;A0
102210011;VESTIBULAR;DESCONHECIDA;A0
102210012;VESTIBULAR;DESCONHECIDA;A0
102210013;VESTIBULAR;DESCONHECIDA;A0
102210014;VESTIBULAR;DESCONHECIDA;A0
102210015;VESTIBULAR;DESCONHECIDA;A0
102210016;VESTIBULAR;DESCONHECIDA;A0
102210017;VESTIBULAR;DESCONHECIDA;A0
102210018;VESTIBULAR;DESCONHECIDA;A0
102210019;VESTIBULAR;DESCONHECIDA;A0
102210020;VESTIBULAR;DESCONHECIDA;A0
102210021;VESTIBULAR;DESCONHECIDA;A0
102210022;VESTIBULAR;DESCONHECIDA;A0
102210023;VESTIBULAR;DESCONHECIDA;A0
102210024;VESTIBULAR;DESCONHECIDA;A0
102210025;VESTIBULAR;DESCONHECIDA;A0
102210026;VESTIBULAR;DESCONHECIDA;A0
102210027;VESTIBULAR;DESCONHECIDA;A0
102210028;VESTIBULAR;DESCONHECIDA;A0
102210030;VESTIBULAR;DESCONHECIDA;A0
102210031;VESTIBULAR;DESCONHECIDA;A0
102210032;VESTIBULAR;DESCONHECIDA;A0
102210033;VESTIBULAR;PRIVADA;A0
102210034;VESTIBULAR;DESCONHECIDA;A0
102210035;VESTIBULAR;DESCONHECIDA;A0
102210218;VESTIBULAR;DESCONHECIDA;A0
102210234;VESTIBULAR;DESCONHECIDA;A0
102210242;VESTIBULAR;DESCONHECIDA;A0
102210249;VESTIBULAR;DESCONHECIDA;A0
103110009;VESTIBULAR;DESCONHECIDA;A0
103110010;VESTIBULAR;DESCONHECIDA;A0
103110011;VESTIBULAR;DESCONHECIDA;A0
103110012;VESTIBULAR;DESCONHECIDA;A0
103110013;VESTIBULAR;DESCONHECIDA;A0
103110014;VESTIBULAR;DESCONHECIDA;A0
103110015;VESTIBULAR;DESCONHECIDA;A0
103110016;VESTIBULAR;DESCONHECIDA;A0
103110017;VESTIBULAR;DESCONHECIDA;A0
103110018;VESTIBULAR;DESCONHECIDA;A0
103110019;VESTIBULAR;DESCONHECIDA;A0
103110021;VESTIBULAR;DESCONHECIDA;A0
103110022;VESTIBULAR;DESCONHECIDA;A0
103110023;VESTIBULAR;DESCONHECIDA;A0
103110024;VESTIBULAR;DESCONHECIDA;A0
103110025;VESTIBULAR;DESCONHECIDA;A0
103110026;VESTIBULAR;DESCONHECIDA;A0
103110027;VESTIBULAR;DESCONHECIDA;A0
103110028;VESTIBULAR;PRIVADA;A0
103110029;VESTIBULAR;DESCONHECIDA;A0
103110030;VESTIBULAR;DESCONHECIDA;A0
103110031;VESTIBULAR;DESCONHECIDA;A0
103110032;VESTIBULAR;DESCONHECIDA;A0
103110033;VESTIBULAR;DESCONHECIDA;A0
103110034;VESTIBULAR;DESCONHECIDA;A0
103110035;VESTIBULAR;DESCONHECIDA;A0
103110036;VESTIBULAR;DESCONHECIDA;A0
103110037;VESTIBULAR;DESCONHECIDA;A0
103110038;VESTIBULAR;DESCONHECIDA;A0
103110039;VESTIBULAR;DESCONHECIDA;A0
103110040;VESTIBULAR;DESCONHECIDA;A0
103110041;VESTIBULAR;DESCONHECIDA;A0
103110393;VESTIBULAR;PRIVADA;A0
103110414;VESTIBULAR;DESCONHECIDA;A0
103110415;VESTIBULAR;DESCONHECIDA;A0
103110416;VESTIBULAR;DESCONHECIDA;A0
103110451;TRANSFERENCIA;DESCONHECIDA;A0
103210004;VESTIBULAR;DESCONHECIDA;A0
103210005;VESTIBULAR;DESCONHECIDA;A0
103210006;VESTIBULAR;DESCONHECIDA;A0
103210007;VESTIBULAR;DESCONHECIDA;A0
103210008;VESTIBULAR;DESCONHECIDA;A0
103210009;VESTIBULAR;DESCONHECIDA;A0
103210010;VESTIBULAR;DESCONHECIDA;A0
103210011;VESTIBULAR;DESCONHECIDA;A0
103210012;VESTIBULAR;DESCONHECIDA;A0
103210013;VESTIBULAR;DESCONHECIDA;A0
103210014;VESTIBULAR;DESCONHECIDA;A0
103210015;VESTIBULAR;DESCONHECIDA;A0
103210016;VESTIBULAR;DESCONHECIDA;A0
103210017;VESTIBULAR;DESCONHECIDA;A0
103210018;VESTIBULAR;DESCONHECIDA;A0
103210019;VESTIBULAR;DESCONHECIDA;A0
103210020;VESTIBULAR;DESCONHECIDA;A0
103210021;VESTIBULAR;DESCONHECIDA;A0
103210022;VESTIBULAR;DESCONHECIDA;A0
103210023;VESTIBULAR;DESCONHECIDA;A0
103210024;VESTIBULAR;DESCONHECIDA;A0
103210025;VESTIBULAR;DESCONHECIDA;A0
103210026;VESTIBULAR;DESCONHECIDA;A0
103210027;VESTIBULAR;DESCONHECIDA;A0
103210028;VESTIBULAR;DESCONHECIDA;A0
103210029;VESTIBULAR;DESCONHECIDA;A0
103210030;VESTIBULAR;DESCONHECIDA;A0
103210031;VESTIBULAR;DESCONHECIDA;A0
103210032;VESTIBULAR;DESCONHECIDA;A0
103210033;VESTIBULAR;DESCONHECIDA;A0
103210034;VESTIBULAR;DESCONHECIDA;A0
103210035;VESTIBULAR;DESCONHECIDA;A0
103210220;VESTIBULAR;DESCONHECIDA;A0
103210237;VESTIBULAR;DESCONHECIDA;A0
103210238;VESTIBULAR;DESCONHECIDA;A0
103210263;DECISAO_JUDICIAL_ADM;DESCONHECIDA;A0
103210282;DECISAO_JUDICIAL_ADM;DESCONHECIDA;A0
103210283;DECISAO_JUDICIAL_ADM;DESCONHECIDA;A0
104110001;VESTIBULAR;DESCONHECIDA;A0
104110002;VESTIBULAR;DESCONHECIDA;A0
104110003;VESTIBULAR;DESCONHECIDA;A0
104110004;VESTIBULAR;DESCONHECIDA;A0
104110005;VESTIBULAR;DESCONHECIDA;A0
104110006;VESTIBULAR;DESCONHECIDA;A0
104110007;VESTIBULAR;DESCONHECIDA;A0
104110008;VESTIBULAR;DESCONHECIDA;A0
104110009;VESTIBULAR;DESCONHECIDA;A0
104110010;VESTIBULAR;DESCONHECIDA;A0
104110011;VESTIBULAR;DESCONHECIDA;A0
104110012;VESTIBULAR;DESCONHECIDA;A0
104110013;VESTIBULAR;DESCONHECIDA;A0
104110014;VESTIBULAR;DESCONHECIDA;A0
104110015;VESTIBULAR;DESCONHECIDA;A0
104110016;VESTIBULAR;DESCONHECIDA;A0
104110017;VESTIBULAR;DESCONHECIDA;A0
104110018;VESTIBULAR;DESCONHECIDA;A0
104110019;VESTIBULAR;DESCONHECIDA;A0
104110020;VESTIBULAR;DESCONHECIDA;A0
104110021;VESTIBULAR;DESCONHECIDA;A0
104110022;VESTIBULAR;DESCONHECIDA;A0
104110023;VESTIBULAR;DESCONHECIDA;A0
