MATRICULA;IDADE;GENERO;LOCAL_NASCIMENTO;ESTADO
102210001;42;MASCULINO;;
102210002;43;MASCULINO;PIANC?;PB
102210003;40;MASCULINO;CAMPINA GRANDE;PB
102210004;43;MASCULINO;;
102210005;43;MASCULINO;BOA VISTA;RR
102210006;40;MASCULINO;CAMPINA GRANDE;PB
102210007;41;MASCULINO;CAMPINA GRANDE;PB
102210008;44;MASCULINO;SOUSA;PB
102210009;42;MASCULINO;RECIFE;PE
102210010;42;FEMININO;ARACAJU;SE
102210011;44;MASCULINO;;
102210012;40;MASCULINO;C?CERES;MT
102210013;42;MASCULINO;CAMPINA GRANDE;PB
102210014;38;MASCULINO;CARUARU;PE
102210015;43;MASCULINO;CAMPINA GRANDE;PB
102210016;40;MASCULINO;FARIAS BRITO;CE
102210017;41;FEMININO;CAMPINA GRANDE;PB
102210018;40;MASCULINO;PEDREIRAS;MA
102210019;42;MASCULINO;JO?O PESSOA;PB
102210020;43;FEMININO;;
102210021;42;MASCULINO;MACEI?;AL
102210022;41;FEMININO;CAMPINA GRANDE;PB
102210023;41;FEMININO;;
102210024;40;MASCULINO;JO?O PESSOA;PB
102210025;40;MASCULINO;JO?O PESSOA;PB
102210026;41;MASCULINO;RIO DE JANEIRO;RJ
102210027;46;MASCULINO;CAMPINA GRANDE;PB
102210028;43;MASCULINO;PATOS;PB
102210030;40;FEMININO;CAMPINA GRANDE;PB
102210031;41;MASCULINO;JO?O PESSOA;PB
102210032;40;MASCULINO;TIMBA?BA;PE
102210033;41;MASCULINO;RIO DE JANEIRO;RJ
102210034;41;FEMININO;CAMPINA GRANDE;PB
102210035;41;MASCULINO;TERESINA;PI
102210218;41;MASCULINO;CRATO;CE
102210234;41;MASCULINO;;
102210242;42;MASCULINO;BRAS?LIA;DF
102210249;43;MASCULINO;JO?O PESSOA;PB
103110009;38;MASCULINO;RIO DE JANEIRO;RJ
103110010;41;MASCULINO;CAMPINA GRANDE;PB
103110011;39;MASCULINO;CAMPINA GRANDE;PB
103110012;39;FEMININO;FORTALEZA;CE
103110013;40;MASCULINO;JO?O PESSOA;PB
103110014;43;FEMININO;CAMPINA GRANDE;PB
103110015;42;MASCULINO;JO?O PESSOA;PB
103110016;41;MASCULINO;S?O PAULO;SP
103110017;39;FEMININO;CAMPINA GRANDE;PB
103110018;39;FEMININO;JO?O PESSOA;PB
103110019;39;MASCULINO;CAMPINA GRANDE;PB
103110021;40;MASCULINO;PONTA POR?;MS
103110022;39;MASCULINO;RECIFE;PE
103110023;40;MASCULINO;CAMPINA GRANDE;PB
103110024;39;MASCULINO;JO?O PESSOA;PB
103110025;43;MASCULINO;CAMPINA GRANDE;PB
103110026;41;MASCULINO;PETROLINA;PE
103110027;39;MASCULINO;CAMPINA GRANDE;PB
103110028;39;MASCULINO;CAMPINA GRANDE;PB
103110029;39;FEMININO;CAMPINA GRANDE;PB
103110030;40;MASCULINO;CAMPINA GRANDE;PB
103110031;50;MASCULINO;CAMPINA GRANDE;PB
103110032;41;MASCULINO;CARUARU;PE
103110033;39;MASCULINO;CAMPINA GRANDE;PB
103110034;40;MASCULINO;MACEI?;AL
103110035;40;MASCULINO;JO?O PESSOA;PB
103110036;41;MASCULINO;CAMPINA GRANDE;PB
103110037;39;MASCULINO;RECIFE;PE
103110038;39;MASCULINO;CAMPINA GRANDE;PB
103110039;40;MASCULINO;CAMPINA GRANDE;PB
103110040;47;MASCULINO;CATOL? DO ROCHA;PB
103110041;39;MASCULINO;S?O PAULO;SP
103110393;40;MASCULINO;PATOS;PB
103110414;40;MASCULINO;ARACAJU;SE
103110415;40;MASCULINO;JO?O PESSOA;PB
103110416;40;MASCULINO;CRATO;CE
103110451;48;MASCULINO;MOSSOR?;RN
103210004;40;MASCULINO;PAULO AFONSO;BA
103210005;40;MASCULINO;CAMPINA GRANDE;PB
103210006;38;MASCULINO;RECIFE;PE
103210007;39;MASCULINO;POMBAL;PB
103210008;41;MASCULINO;CAMPINA GRANDE;PB
103210009;41;FEMININO;CAMPINA GRANDE;PB
103210010;39;MASCULINO;RECIFE;PE
103210011;39;MASCULINO;CAMPINA GRANDE;PB
103210012;39;MASCULINO;CAMPINA GRANDE;PB
103210013;39;MASCULINO;CAMPINA GRANDE;PB
103210014;39;MASCULINO;CAMPINA GRANDE;PB
103210015;40;MASCULINO;CAMPINA GRANDE;PB
103210016;40;MASCULINO;COREMAS;PB
103210017;40;MASCULINO;JO?O PESSOA;PB
103210018;38;FEMININO;CUIT?;PB
103210019;41;MASCULINO;PICU?;PB
103210020;40;MASCULINO;CATOL? DO ROCHA;PB
103210021;39;MASCULINO;CAMPINA GRANDE;PB
103210022;39;FEMININO;CAMPINA GRANDE;PB
103210023;39;MASCULINO;UAU?;BA
103210024;38;MASCULINO;S?O PAULO;SP
103210025;40;MASCULINO;;
103210026;39;MASCULINO;CAMPINA GRANDE;PB
103210027;39;MASCULINO;CAJAZEIRAS;PB
103210028;41;MASCULINO;CAMPINA GRANDE;PB
103210029;39;MASCULINO;CATOL? DO ROCHA;PB
103210030;40;MASCULINO;BREJO SANTO;CE
103210031;41;MASCULINO;VILA VELHA;ES
103210032;40;MASCULINO;CAMPINA GRANDE;PB
103210033;39;MASCULINO;CAMPINA GRANDE;PB
103210034;39;MASCULINO;CAMPINA GRANDE;PB
103210035;39;FEMININO;CAMPINA GRANDE;PB
103210220;39;MASCULINO;CAMPINA GRANDE;PB
103210237;43;MASCULINO;RIO DE JANEIRO;RJ
103210238;40;MASCULINO;CAMPINA GRANDE;PB
103210263;39;MASCULINO;CAMPINA GRANDE;PB
103210282;44;MASCULINO;;
103210283;44;MASCULINO;;
104110001;38;FEMININO;CAMPINA GRANDE;PB
104110002;38;MASCULINO;AURORA;CE
104110003;41;MASCULINO;CAMPINA GRANDE;PB
