ANO;CODE;DISCIPLINA;ESTADO;CREDITO
1979;1108016;F?SICA PARA COMPUTA??O;OBRIGATORIO;4
1979;1109002;INTRODU??O ? ?LGEBRA;OBRIGATORIO;4
1979;1109006;?LGEBRA LINEAR;OBRIGATORIO;4
1979;1109007;CALCULO DIF E INTEGRAL I;OBRIGATORIO;4
1979;1109008;CALCULO DIF E INTEGRAL II;OBRIGATORIO;4
1979;1109009;CALCULO DIF E INTEGRAL III;OPCIONAL;5
1979;1109010;EQUACOES DIFERENCIAIS LINEARES;OBRIGATORIO;4
1979;1109035;ALGEBRA VETORIAL E GEOMETRIA ANAL?TICA;OBRIGATORIO;4
1979;1109102;ALGEBRA VETORIAL E GEOMETRIA ANALITICA;OBRIGATORIO;4
1979;1114013;ESTAT?STICA I;OBRIGATORIO;4
1979;1114014;ESTAT?STICA II;OBRIGATORIO;4
1979;1301005;INTRODU??O ? ADMINISTRA??O;COMPLEMENTAR;4
1979;1301017;ORGANIZACAO INDUSTRIAL;COMPLEMENTAR;4
1979;1301086;INTRODU??O ? PSICOLOGIA;OPCIONAL;4
1979;1302019;HIST?RIA DA ARTE;OPCIONAL;4
1979;1303021;ECONOMIA;OBRIGATORIO;4
1979;1303029;POLITICA E PLANEJAMENTO ECONOMICO;OPCIONAL;3
1979;1304010;GINASTICA - MASC;OPCIONAL;2
1979;1304011;NATACAO - MASC;OBRIGATORIO;2
1979;1304013;BASQUETEBOL - MASC;OPCIONAL;2
1979;1304015;INTRODU??O ? PSICOLOGIA;OPCIONAL;4
1979;1304020;LINGUA PORTUGUESA;COMPLEMENTAR;5
1979;1304022;GINASTICA - FEM;OBRIGATORIO;2
1979;1304059;FUTEBOL DE CAMPO;OPCIONAL;2
1979;1304062;PR?TICA DESPORTIVA;OBRIGATORIO;2
1979;1305021;SOCIOLOGIA INDUSTRIAL II;OPCIONAL;3
1979;1305022;METODOL. E TEC. DE PESQUISA I;OPCIONAL;3
1979;1305033;SOCIOLOGIA INDUSTRIAL I;OPCIONAL;3
1979;1305034;SOCIOLOGIA DO CONSUMO;OPCIONAL;4
1979;1305036;INSTITUICOES DO DIREITO;COMPLEMENTAR;3
1979;1305039;EST DE PROBL BRASILEIROS I;OBRIGATORIO;2
1979;1305040;EST DE PROBL BRASILEIROS II;OBRIGATORIO;2
1979;1305046;ANTROPOLOGIA GERAL;OPCIONAL;3
1979;1305190;SOCIOLOGIA DO CONSUMO;OPCIONAL;3
1979;1307012;INGLES I;COMPLEMENTAR;3
1979;1307013;INGLES II;COMPLEMENTAR;3
1979;1307045;LINGUA PORTUGUESA;COMPLEMENTAR;5
1979;1404006;SISTEMAS DIGITAIS;COMPLEMENTAR;5
1979;1404031;ELETRONICA DIGITAL;OBRIGATORIO;6
1979;1404032;LAB ELETRONICA DIGITAL;OBRIGATORIO;0
1979;1404040;TEORIA DA INFORMACAO E CODIFICACAO;OPCIONAL;4
1979;1404049;MICROPROCESSADORES;OPCIONAL;5
1979;1404115;SIMULACAO DIGITAL;COMPLEMENTAR;4
1979;1411003;CALCULO NUMERICO;OBRIGATORIO;3
1979;1411004;ORGANIZACAO DE COMPUTADORES;COMPLEMENTAR;4
1979;1411005;INTRODU??O AO COMPUTADOR;OBRIGATORIO;3
1979;1411006;PROGRAMA??O I;OBRIGATORIO;5
1979;1411011;SOFTWARE BASICO;OBRIGATORIO;5
1979;1411018;SISTEMAS OPERACIONAIS I;COMPLEMENTAR;4
1979;1411019;LING FORMAIS E AUTOMATOS;COMPLEMENTAR;4
1979;1411021;SIMULACAO DIGITAL;COMPLEMENTAR;4
1979;1411022;COMPUTADORES E SOCIEDADE;COMPLEMENTAR;2
1979;1411024;INT A PESQUISA OPERACIONAL;COMPLEMENTAR;4
1979;1411025;PROJETO EM COMPUTA??O;OPCIONAL;2
1979;1411027;BASE DE DADOS;OPCIONAL;4
1979;1411030;T?PICOS ESPECIAIS EM COMPUTA??O;OPCIONAL;0
1979;1411031;ASSEMBLER BASICO;OBRIGATORIO;3
1979;1411038;LINGUAGEM DE PROGRAMA??O I;OBRIGATORIO;4
1979;1411039;T?CNICAS DE ARQUIVAMENTO;COMPLEMENTAR;4
1979;1411040;LINGUAGEM DE PROGRAMA??O II;OBRIGATORIO;4
1979;1411043;TEORIA DOS GRAFOS;OPCIONAL;4
1979;1411048;ESTAGIO SUPERVISIONADO;COMPLEMENTAR;4
1979;1411050;ESTRUTURA DE DADOS;OBRIGATORIO;4
1979;1411052;LINGUAGEM DE PROGRAMA??O III;OBRIGATORIO;4
1979;1411054;MATEM?TICA DISCRETA;OBRIGATORIO;4
1979;1411055;TELEPROCESSAMENTO I;COMPLEMENTAR;4
1979;1411056;INTRODU??O ? COMPUTA??O;OBRIGATORIO;4
1979;1411057;ESTRUTURA DE LINGUAGEM;OBRIGATORIO;4
1979;1411058;METODOLOGIA DE PROGRAMA??O;OBRIGATORIO;4
1979;1411059;INT. ? AN?LISE DE SISTEMAS;COMPLEMENTAR;4
1979;1411060;CONSTRUCAO DE COMPILADORES I;COMPLEMENTAR;5
1979;1411061;INT. ? AN?LISE NUM?RICA;OPCIONAL;4
1979;1411062;SISTEMAS OPERACIONAIS II;OPCIONAL;4
1979;1411063;TELEPROCESSAMENTO II;OPCIONAL;4
1979;1411064;CONSTRUCAO DE COMPILADORES II;OPCIONAL;4
1979;1411148;TECC (L?GICA APLICADA ? COMPUTA??O);OBRIGATORIO;4
1979;1411283;TECC(FUNDAMENTOS DE PROG CONCORRENTE);OPCIONAL;4
1979;1411293;TECC(LAB DE ADMINISTRACAO DE SISTEMAS I);OPCIONAL;2
1979;1503038;CI?NCIAS DO AMBIENTE;COMPLEMENTAR;3
curriculumCode;subject/subjectCode;subject/name;type;subject/credits
1990;1105149;GEOMETRIA DESCRITIVA;OPCIONAL;4
1990;1108025;F?SICA GERAL III;COMPLEMENTAR;6
1990;1108026;F?SICA EXPERIMENTAL I;COMPLEMENTAR;3
1990;1108027;F?SICA EXPERIMENTAL II;COMPLEMENTAR;3
1990;1108030;F?SICA GERAL I;COMPLEMENTAR;4
1990;1108031;F?SICA GERAL II;COMPLEMENTAR;4
1990;1108035;F?SICA GERAL III;COMPLEMENTAR;4
