MATRICULA;RAZAO_DE_INATIVIDADE_DE_ALUNO
102210001;CANCELAMENTO
102210002;DESCONHECIDO
102210003;REINGRESSO
102210004;DESCONHECIDO
102210005;DESCONHECIDO
102210006;DESCONHECIDO
102210007;DESCONHECIDO
102210008;DESCONHECIDO
102210009;DESCONHECIDO
102210010;DESCONHECIDO
102210011;ABANDONO
102210012;ABANDONO
102210013;REINGRESSO
102210014;DESCONHECIDO
102210015;EXPULSAO
102210016;DESCONHECIDO
102210017;ABANDONO
102210018;REINGRESSO
102210019;DESCONHECIDO
102210020;ABANDONO
102210021;ABANDONO
102210022;DESCONHECIDO
102210023;DESCONHECIDO
102210024;DESCONHECIDO
102210025;ABANDONO
102210026;ABANDONO
102210027;EXPULSAO
102210028;ABANDONO
102210030;ABANDONO
102210031;ABANDONO
102210032;ABANDONO
102210033;DESCONHECIDO
102210034;ABANDONO
102210035;DESCONHECIDO
102210218;DESCONHECIDO
102210234;DESCONHECIDO
102210242;REINGRESSO
102210249;CANCELAMENTO
103110009;DESCONHECIDO
103110010;DESCONHECIDO
103110011;DESCONHECIDO
103110012;ABANDONO
103110013;DESCONHECIDO
103110014;DESCONHECIDO
103110015;DESCONHECIDO
103110016;ABANDONO
103110017;DESCONHECIDO
103110018;DESCONHECIDO
103110019;REINGRESSO
103110021;DESCONHECIDO
103110022;DESCONHECIDO
103110023;DESCONHECIDO
103110024;DESCONHECIDO
103110025;ABANDONO
103110026;DESCONHECIDO
103110027;DESCONHECIDO
103110028;DESCONHECIDO
103110029;DESCONHECIDO
103110030;DESCONHECIDO
103110031;DESCONHECIDO
103110032;EXPULSAO
103110033;DESCONHECIDO
103110034;ABANDONO
103110035;DESCONHECIDO
103110036;DESCONHECIDO
103110037;DESCONHECIDO
103110038;EXPULSAO
103110039;DESCONHECIDO
103110040;DESCONHECIDO
103110041;DESCONHECIDO
103110393;DESCONHECIDO
103110414;DESCONHECIDO
103110415;DESCONHECIDO
103110416;TRANSFERENCIA
103110451;ABANDONO
103210004;ABANDONO
103210005;DESCONHECIDO
103210006;DESCONHECIDO
103210007;REINGRESSO
103210008;EXPULSAO
103210009;TRANSFERENCIA
103210010;REINGRESSO
103210011;DESCONHECIDO
103210012;EXPULSAO
103210013;ABANDONO
103210014;ABANDONO
103210015;ABANDONO
103210016;REINGRESSO
103210017;DESCONHECIDO
103210018;ABANDONO
103210019;DESCONHECIDO
103210020;DESCONHECIDO
103210021;ABANDONO
103210022;ABANDONO
103210023;ABANDONO
103210024;DESCONHECIDO
103210025;ABANDONO
103210026;DESCONHECIDO
103210027;DESCONHECIDO
103210028;DESCONHECIDO
103210029;DESCONHECIDO
103210030;DESCONHECIDO
103210031;CANCELAMENTO
103210032;ABANDONO
103210033;ABANDONO
103210034;DESCONHECIDO
103210035;DESCONHECIDO
103210220;DESCONHECIDO
103210237;DESCONHECIDO
103210238;DESCONHECIDO
103210263;REINGRESSO
103210282;OUTROS
103210283;OUTROS
104110001;ABANDONO
104110002;DESCONHECIDO
104110003;DESCONHECIDO
104110004;ABANDONO
104110005;DESCONHECIDO
104110006;TRANSFERENCIA
104110007;ABANDONO
104110008;DESCONHECIDO
104110009;REINGRESSO
104110010;TRANSFERENCIA
104110011;DESCONHECIDO
104110012;DESCONHECIDO
104110013;ABANDONO
104110014;DESCONHECIDO
104110015;EXPULSAO
104110016;DESCONHECIDO
104110017;DESCONHECIDO
104110018;DESCONHECIDO
104110019;DESCONHECIDO
104110020;DESCONHECIDO
104110021;ABANDONO
104110022;DESCONHECIDO
104110023;DESCONHECIDO
104110024;REINGRESSO
104110025;DESCONHECIDO
104110026;ABANDONO
104110027;DESCONHECIDO
104110028;DESCONHECIDO
104110029;DESCONHECIDO
104110030;DESCONHECIDO
104110031;DESCONHECIDO
104110032;DESCONHECIDO
104110033;EXPULSAO
104110034;DESCONHECIDO
104110035;ABANDONO
104110399;ABANDONO
104210001;ABANDONO
104210002;ABANDONO
104210003;DESCONHECIDO
104210004;DESCONHECIDO
104210005;DESCONHECIDO
104210006;DESCONHECIDO
104210007;DESCONHECIDO
104210008;DESCONHECIDO
104210009;DESCONHECIDO
104210010;DESCONHECIDO
104210011;TRANSFERENCIA
104210012;DESCONHECIDO
104210013;EXPULSAO
104210014;ABANDONO
104210015;TRANSFERENCIA
104210016;DESCONHECIDO
104210017;EXPULSAO
104210018;ABANDONO
104210019;EXPULSAO
104210020;DESCONHECIDO
104210021;EXPULSAO
104210022;DESCONHECIDO
104210023;REINGRESSO
104210024;ABANDONO
104210025;DESCONHECIDO
104210026;ABANDONO
104210027;DESCONHECIDO
104210028;DESCONHECIDO
104210029;EXPULSAO
104210030;DESCONHECIDO
104210031;DESCONHECIDO
104210032;DESCONHECIDO
104210033;DESCONHECIDO
104210034;ABANDONO
104210035;TRANSFERENCIA
104210215;DESCONHECIDO
104210216;ABANDONO
105110091;DESCONHECIDO
105110092;DESCONHECIDO
105110093;ABANDONO
105110094;DESCONHECIDO
105110095;DESCONHECIDO
105110096;ABANDONO
105110097;DESCONHECIDO
105110098;DESCONHECIDO
105110099;DESCONHECIDO
105110100;ABANDONO
105110101;DESCONHECIDO
105110102;DESCONHECIDO
105110103;DESCONHECIDO
105110104;DESCONHECIDO
105110105;DESCONHECIDO
105110106;DESCONHECIDO
105110107;DESCONHECIDO
105110108;DESCONHECIDO
105110109;DESCONHECIDO
105110110;REINGRESSO
105110111;DESCONHECIDO
105110112;ABANDONO
105110113;ABANDONO
105110114;REINGRESSO
105110115;DESCONHECIDO
105110116;DESCONHECIDO
105110117;DESCONHECIDO
105110118;ABANDONO
105110119;DESCONHECIDO
105110120;DESCONHECIDO
105110121;DESCONHECIDO
105110122;DESCONHECIDO
105110123;ABANDONO
105110124;DESCONHECIDO
105110125;ABANDONO
105110753;DESCONHECIDO
105110767;ABANDONO
105210126;DESCONHECIDO
105210127;ABANDONO
105210128;DESCONHECIDO
105210130;DESCONHECIDO
105210131;REINGRESSO
105210132;ABANDONO
105210133;DESCONHECIDO
105210134;ABANDONO
105210135;DESCONHECIDO
105210136;DESCONHECIDO
105210137;EXPULSAO
105210138;REINGRESSO
105210139;ABANDONO
105210140;DESCONHECIDO
105210141;DESCONHECIDO
105210142;ABANDONO
105210143;DESCONHECIDO
105210144;DESCONHECIDO
105210145;DESCONHECIDO
105210146;EXPULSAO
105210147;ABANDONO
